sentence,label
"அதிகாரத்தால் வீழ்த்த முடியாத மிகப்பெரிய தன்னெழுச்சி போராட்டத்தை சினிமா கவர்ச்சியால் வீழ்த்த முடியும் என நிரூபித்து, கசப்பான நினைவுகளை தந்து சென்றது. 😣#1YearOfJallikattuProtest",Anger
அதிகாலை சூரியன்ல சூடு கம்மியா இருக்கிற நேரமா பார்த்து ராக்கெட் விட்டா சூரியன்ட்ட ஈசியா போயிடலாம்னு செல்லூர் சித்தர் சொல்லியிருக்கார் 😌 pic.twitter.com/DucPkYdlx4,Anger
அதிமுக & ஜெ வுக்கு அவமானம்.,Anger
"அதிமேதாவி சுபவீ இந்த வார்த்தைகளுக்கு எதிர்வரத்தை தேவதாசி எனபதாம்..""அவர்கள் மனம் புண்பட்டு விட்டதாகக் கவலைப்படுவோர், ""நீறு இல்லா நெற்றி பாழ்,"" என்று சொன்னபோதும், ""நாத்திகம் பேசி நாத்தளும்பேறியோர்,"" என்று பாடியபோதும் எங்கள் மனம் புண்படும் என்பதை எண்ணிப்பார்க்கவில்லையே, ஏன்?",Anger
இப்ப நான் செய்தி தொலைக்காட்சி(கள்) பாத்துட்டு அவங்கள வேற channel-ஏ பாக்க விடாம தொந்தரவு பண்றேன் 😂Watte change.,Anger
"இருந்தாலும் இதை தவிறித்து இருக்கலாம்😟😟 , இது அவரை போல் தோன்றுகிறது😬😬,#GnaniSankaran",Anger
இல்ல மச்சா அழகிய சூடான பூவே கண்ணு முன்னாடி வந்து போச்சு😂😂😒,Anger
"இவனுக்கு தண்டனை தருவது வேற விஷயம்.. முதலில் வீரம் எது, சைக்கோதனம் எது என்பதில் கவுன்சிலிங் அவசியம்.. தமிழகத்திலும் பள்ளிகளில் துப்பாக்கி சூடு நடக்கும் நிலை வர விட்ற கூடாது.. …",Anger
இனிமே டேக் பன்னல யாருக்கும் என்னால் யாருக்கும் தொந்தரவு வரவே வராது ..☺☺,Anger
ஈர ஒதட்டுல சூடு பரப்பி இஸ்திரி போடேன்டி... தனியார் பேருந்தும் 😍😍😍,Anger
உன் கோவத்தை விடஉன் மௌனமே எனக்குஅதிக பயத்தை ஏற்படுத்துகிறது...#Dogg,Anger
உன்னை கடந்துசெல்லும் போதுல்லம் எனக்குள் ஒரு கோவம் உன்னுடன் சேர்ந்து செல்லாமட்டனஎனக்குள் ஒரு ஏக்கம்,Anger
உன்னை சொல்லி குற்றம் இல்லை என்னை சொல்லி குற்றம் இல்லை காலம் செய்த கோலம்,Anger
கசப்பான உண்மைநல்ல பெற்றோரும் குறைவுநல்யாசிரியனும் இல்லைநமது சந்ததி கதி pic.twitter.com/ndhEGgikH2,Anger
கவரிமான்' -செமயா பண்ற தல... சூடு சொரணை எல்லாம் அவங்களுக்கு இருந்தா உனக்கு கொலக்கேசுதேன்....,Anger
"காஞ்சி சின்னவா தமிழ்தாய் வாழ்த்துக்கு மரியாதை தர வில்லை என்று கோபப்படும் நாம், தேசிய கீதத்துக்கே மரியாதை தராத ஒரு தரப்பினரை கண்டிப்பதில்லை!",Anger
குளிரான காலைசூடான காப்பிசுப்ரபாதம் காலைப் பொழுது அழகு தான்.!அன்பான காலை வணக்கம்!💐 pic.twitter.com/fbrBmkB5fN,Anger
சில நடுநிலை அடிமைகள்லாம் திமுகவை குற்றம் சொல்றமாதிரி எவன் போஸ்ட் போட்டாலும் ஆர்டி பண்ணி ஆர்கசம் அடைஞ்சுக்குறானுக 😂,Anger
தனியாவே இருந்து வெறுப்பாகி போச்சுநீ வந்ததால என் சோகம் போச்சுபெருமூச்சு விட்டேன் சூடான மூச்சுஉன் வாசம் பட்டு ஜலதோஷம் ஆச்சுமெதுவா மெதுவா நீ பேசும் போதுசொகமா சொகமா நான் கேக்குறேன்இது சார காத்து என் பக்கம் பாத்துஎதமாக ஆனாலே..@inban_ofl pic.twitter.com/SaGaiDubWm,Anger
தாங்கள் காட்டிய மேற்கோளால் புண்பட்ட மனங்களுக்கு சொந்தமாக பல பார்ப்பனர்களும் இருக்கின்றனர். தமிழ் சமுதாயம் என்று நீங்கள் கூறியிருப்பதில் அவர்களும் அடங்குவர் என்றால் நன்றி!,Anger
"திரண்டு நிற்கும் மாம்பழம் போர்கொடியதூக்குது,உன் வாசக்காற்றை முகர்ந்ததும் வெறிபிடித்து நிற்கிறேன்,வீணைபோன்ற மேனியை இதழ்களாலே மீட்டீனேன்,அறுசுவை விருந்திலும் உன்பால் சுவை பருகினேன்,பஞ்சு போன்ற மேனியில் படுத்துறங்க பாக்குறேன்,நிமிர்ந்து நிற்கும் நெஞ்சிய தலையணையா ஆக்குறன்,",Anger
தினகரன் வெற்றியை மிகப்பெரிய அவமானமாக கருதுகிறேன்...#impotent போட்டி போடுறதுக்காகதாண்டா அவமானப்படனும்.Mr.impotent....,Anger
தேவைதானா இந்த அவமானம் pic.twitter.com/FX1jj4kMuO,Anger
தைநம் அனைவருக்கும் ஆரோக்கியத்தைநலத்தைவளத்தைசாந்தத்தைசமத்துவத்தைபந்தத்தைபாசத்தைநேசத்தைஇரக்கத்தைஉற்சாகத்தைஊக்கத்தைஏற்றத்தைசுபிட்சத்தைகொடுத்துபஞ்சத்தைவஞ்சத்தைவன்மத்தைதுரோகத்தைஅலட்சியத்தைஅகங்காரததைஆணவத்தைகோபத்தைகுரோதத்தைசுயநலத்தைவிடுக்கும்இனிய பொங்கல்,Anger
"தோடி ராகம் எ. சினிமா! நாட்டுப்புறக் காட்சி!கொட்டாம்பட்டி ரோட்டுலகுட்டி போற சோக்குலரொட்டையைத் தான் திம்பேனாகுட்டியைத் தான் பார்ப்பேனா?:)அபச்சாரம்! புனித பிராமணாள் பேச்சாடா இது?Music குன்னக்குடி=ஐயர்Hero TN சேஷகோபாலன்=ஐயங்கார்Soda Bottle ஜீயர் போட்ட Fatwa, ஐயங்காருக்கு!😂 pic.twitter.com/ejnzcneX6o",Anger
நமக்கு பயோல my bestie னு போடக்கூட ஒரு பெண் தோழி இல்லியேனு நெனைக்கும்போது நானெல்லாம் ஏன் 😢😢😢,Anger
நம் அவர்கள் சில சமயம் கோபமாக பேசி இருக்கலாம். ஆனால் அவர் முன் வைத்த கருத்தை புரிந்து கொள்ள மறுத்ததால் இடித்து உரைக்க வேண்டி இருந்தது. அவர் உரை ஆற்றும் சூழல் அத்தகையது.,Anger
நாம யாருக்கும் தொந்தரவு இல்லாம இருக்கோமே அதுவே ஒரு பெரு மனநிம்மதிய தருது,Anger
நாம் காட்டும் அக்கறை பல பேருக்கு தொந்தரவாகவே இருக்கிறது. நாம் தான் நமக்கு உரிமை இருக்கிறது என்று நினைக்கிறோம்.அது அவர்களுக்குஉரிமை மீறலாகவே தெறிகிறது...முக்கியத்துவம் இழந்து போவது சொல்லிலடங்கா அவமானம்...,Anger
ஹஹஹஹ இங்கதான் ஆரம்பம் ஊருக்கு 2பேர்க்கு கொடுத்தால் 98பேர் அஇஅதிமுக காரர்கள் அதிர்ப்தி .. ஸ்கூட்டி அந்த 2 பேர் ஓட்டினா 98 பேர்க்கு வரும் பாருங்கள் கோவம் அதை எலக்ஸன்ல காட்டுவாக,Anger
"ஹஹா... அவ்ளோ தான் எல்லாம். பீ ஹாப்பி. நமக்கு பிடிச்சதை செய்வோம், மத்தவங்களுக்கு தொந்தரவு பண்ணாம.",Anger
ஹா ஹா .. இதை தான் தேடிட்டு இருந்தியா.. கதறியே சாவுங்க.. பைரவா ஊத்திக்கிச்சுன்னு சொல்லி உங்க சொம்புகள் அண்ணா பான்ஸ் ஆத்திரத்தை சம்பாதிக்காத.. உங்களுக்கு இருக்கற ஒரே சப்போர்ட் அவனுங்க தான்..😂😂😂,Anger
🎂🙏🙏 🙏🙏🎂பகையை வேரறுக்கவே சினம் கொண்டு பிறந்தவனும் நீ தானோ!பகைவர் அலறி புறம் காட்டி ஓடவே படையெடுத்தவனும் நீ தானோ!வீரமெனும் சொல் என்னவென்று நாங்கள் கேட்கவேஉன் மரணசாசனத்தின் மூலம் விளக்கிச் சென்றவனும் நீ தானோ! உன் அகவை தினத்தில் வணங்கி மகிழ்கிறேன் 🙏🙏 pic.twitter.com/QAF9jShITR,Anger
"😍😍😍#Bhumika😍 BGM 🎶ஆமாம் கோவம் தான், நீ மட்டும் பாக்க வேண்டிய உடம்ப மத்தவங்கள ஏன் பாக்க விட்ட 😔 pic.twitter.com/ab8Jv09Sto",Anger
"""ரஜினி""யை திட்ட நினைத்து ""ரசினி"" என்று சொல்வதால் அவமானம் ரஜினிக்கல்ல. தமிழுக்கு.",Anger
***** நமக்கு நாக்குல சனி. நாம பேசினா கண்டிப்பா மனக்கசப்பு தான் மிஞ்சும். பலருடன் இப்படி ஆயிருச்சு...,Anger
அடிங்கு...எப்படி தான் சூடு சொரனை மான நியாயம் இல்லாம ஒரு கட்சில இருக்குறது,Anger
அடிப்படை நாகரீகம் கூட மறந்தது ஏன்? பாரதிராஜாவின் சூடான அறிக்கை …#Bharathiraja pic.twitter.com/8nyUMRpb1T,Anger
அடிமைகளே தமிழக வாகனத்தில் பெயரை இந்தியில் எழுதி வச்சிருக்காங்க உனக்கு அவமானமாக இல்லையா??,Anger
அடிமைகள் வேறு என்ன செய்யும்? அம்மா என்ற சொல்லையே அவமானப்படுத்திய வர்கள் தாய்மொழியை அவமானம் படுத்துகிறோம் என்பதை அவர்கள் எங்கே உணர போகிறார்கள்?,Anger
அடியே இவளை பாத்தாவே எரிச்சல் ஆகுது டி இவ மூஞ்சவே வைக்கிற,Anger
அடுத்த வருஷம் news 7 செந்தில் காரணமாக இந்த விருது உங்களிடம் இருந்து பறிபோகும்....அவ்வளவு எரிச்சல் வருது இப்பெல்லாம் நேர் பட பேசு நிகழ்ச்சிய பார்த்த.....,Anger
"அடுத்து தமிழ் நியூஸ் சேனல் களை பார்காதீர்கள், இந்துவை அவமதிப்பவன் உங்கள் காலில் விழுவான்.",Anger
அடுத்தோரைஇகழ்வதுஉங்கள் வேலையில்லை.,Anger
"அடே, உங்களுக்கு மானம் சூடு சுரணை இருந்தால், தமிழ்த்தாய் வாழ்த்தை அவமதித்த -க்கு எதிரா ஒரு கண்டனத்தை தெரிவியுங்கள் பார்க்கலாம்.உங்களுக்கு அந்த தெம்பு,திராணி இல்லை,ஏனெனில் நீங்கள் ஆண்மையற்றவர்கள் என்பது இந்த நாட்டிற்கே தெரியும்.",Anger
அடேய் அப்படியே இந்தியாவை அவமதிக்கும் நபர்களையும் இந்தியாவை விட்டு வெளியேற சொல்லுங்கள்.அதற்கு மட்டும் வாய் வராது.,Anger
அடேய் அறிவாளி குற்றம் நீருபிக்கபட்டால் மட்டுமே. குற்றவாளிடா. இவர் மேல இன்றளவும் வழக்கு முகந்திரம் தான்டா சொல்லிட்டு வாறங்கா. புரிந்துகொண்டு உளறு??,Anger
அடேய் எங்களுக்கு என்ன பயம்...காவி பாய்ஸ்க்கு தான் கோவம் வரும்,Anger
அடேய் பாடு வீசி தான் பாரும்.. கடவுள் பெயர் சொல்லி பெண்களிடம் உல்லாசமாக இருக்கும் உங்களுக்கு என்னடா மரியாத. .உங்கள மாறி இருக்கும் காவி கூட்டத்தால் தான் இந்து மததிற்கே அவமானம். இதை நீங்கள் உணரும் வரை இந்துத்துவம் சீர்கெட்டு தான் போகும். .,Anger
அடேய் மீண்டும் அவமானம்😡😡😡,Anger
அடேய் யார் மேல உள்ள கோவம்😂😂,Anger
அடேய் ஸ்டாலின் மூத்திரத்தை சூடு பண்ணி சூடு பண்ணி இன்னும் எவ்ளோ நாள் தான் டா குடிக்க போற. ரஜினிய எவ்ளோ மட்டம் தட்ட முடிமோ தட்டு. களத்துல ரஜினி ரத்தங்கள் இருக்குற வரைக்கும் உன்னால ஒரு மயிரை கூட ஆட்ட முடியாது,Anger
"அடேய், அடேய், எரிச்சலை கிளப்பாதடா! உனக்கு உடம்பெல்லாம் மச்சமடா!!!! …",Anger
"அடேய்,உங்களுக்கெல்லாம் சூடு,சொரணை எதுவும் இல்லையா? குடியரசு தினத்தன்று கூட தாய்மொழியை தூக்கிபிடிக்க முடியாத நீங்க எல்லாம் என்ன கூந்தலுக்கு ஆட்சியில் இருக்கீங்கன்னுதான் புரியலஇந்த இலட்சணத்தில் அதிமுககாரன் ""மொழிப்போர் தியாகிகளுக்கு வீரவணக்கநாள்"" கொண்டாடுறான் 😈😈😈த்தூ ... pic.twitter.com/Su5kDqOlFI",Anger
அடேய்.. கோவிலை இரண்டு நாள் இழுத்து மூடு....கடவுளுக்கு கோவம் வரும்..நாத்திகர்களை அழிக்கும்...என்ன ரெண்டு நாள் உனக்கு கிடைக்காது...பட்டினி கிடந்து சாவு...,Anger
"அட்லீ இயக்கத்தில் விஜய் நடிப்பில் வெளியான 'மெர்சல்' திரைப்படம் ரசிகர்களின் பலத்த எதிர்ப்பார்ப்புக்கு மத்தியில்வசூலைக்குவித்தது.இந்நிலையில்,படம் வெளியாகி சில மாதங்களே ஆகும் நிலையில் மெர்சல்படத்தை பொங்கல் அன்று தொலைக்காட்சியில் ஒளிபரப்பவிருப்பதால் ரசிகர்கள் அதிருப்தி அடைந்துள்ளனர்",Anger
அண்டங் காக்காயை சொன்னா சாதா காக்காய்க்கு கோவம் வருது... தண்ணிய குடி pic.twitter.com/coogtL5sEu,Anger
"அண்டை மாநிலத்தில் இருக்க அவரே தமிழில் எழுதி இருக்காரு, ஒங்கலுக்கெல்லாம் என்னடா தமிழ்ல எழுத அவமானமா இருக்கா, தமிழ் அவமானம் இல்ல, அதுதான் நம்ம அடையாளம், இந்த செயல் நம்ம தரத்தை தாழ்த்தும், நாம் எல்லாம் தமிழன் தரங்கெட்டு போககூடாது......",Anger
அண்ணனுக்கு கோவம் வந்துடுச்சு. இனிமே வாங்கடா இவ்வளவு நாளாக தூங்கிட்டு இருந்தார் இனிமே வாங்கடா பார்ப்பன பசங்களா.,Anger
அண்ணா யுனிவர்சிட்டி ஆகச் சிறந்த ஒவ்வொரு‌ ஆறு‌ மாசமும் ஸ்டூடன்ட் க்கு தெரிஞ்சி நேரா கொள்ளையடிக்கிறானுக....கல்விய முழுசா தொழிலா மாத்திட்டானுக....படிச்சவனுக்கு மரியாத இல்ல... Handwriting..Pages அதிகமா fill பண்ணுனா மார்க் இல்லனா Arrears..இங்க ஏன் கோவம் வரல உங்களுக்கு...????,Anger
அண்ணுக்கு கோவம் வந்துருச்சு பாருங்க,Anger
அண்ணே நீங்க இப்ப எங்க உட்கார்ந்து இருக்கீங்க.நீங்கள் கருவின் குற்றம் என கூறி தனி கட்சி ஆரம்பித்த போது உங்களுக்காக உயிர்விட்டவர்களை நினைத்து பார்த்தீர்களா?,Anger
அத நீ தான் முடிவு பண்ணணும்...தமிழை அவமதிக்கும் நாய்களை கேட்கிறோம்...,Anger
அததான் நானும் கேக்குறேன் ஏன் இந்த கோவம் கொயந்த மேல 😢😕,Anger
அதலாம் இல்ல ஜி..game ஆடுறங்க என்ன சேத்துக்காம அதான் கோவம்,Anger
அதற்காக மதம் பற்றி பேசுதல் எப்டி குறையாகும்?இங்கு அனைவரும் மதத்தின் மிகுதியால் தன் சார்ந்த மதத்தை மிகைப்படுத்தி பேசும் போது அது எப்படி குற்றம் ஆகும்?மற்ற மதத்தை இழிப்பது தன் குற்றம்...,Anger
அதற்குத்தானே இவ்வளவு இந்து மத வெறியுடன் போராடுகிறீர்கள் . இராமநாதபுர முஸ்லீம்களை அழித்துவிடலாமா?,Anger
அதனால்தான் சூடு ஏத்தாதீங்க... வைரமுத்து எழுதிய கட்டுரையை படித்தவர்கள் பிரச்சனை செய்ய மாட்டார்கள்.. அரகுறை மங்குனி மட்டுமே இவ்வாறு பேசுவார்கள்..,Anger
"அதானே!தட்சிணை என்ற பெயரில் பிச்சை,புரோகிதம் என்ற பெயரில் ஏமாற்றி பணம் பிடுங்கிகளுக்கு சூடு சொரனை இருக்குமா என்ன!?",Anger
அதான் நானும் சொல்றேன் உன்னை செருப்பால் அடிச்சா செருப்புக்கு அவமானம் ச்சீ போ,Anger
அதான் வாய் தூக்கி வச்சி தேச்சிட்டானே மெர்சல் காப்பினு சூத்தமூடிட்டு இருடா லூசுக்கூதி கேனை கூதியாட்டம் ரிப்ளை பன்னி அவன் உனக்கு மேல ஒரு கே கூ இரண்டு வாய்டாக்கா போட்டு தேர இழுத்து தெருல உடு.பலவட்ரபுண்டயானே போய் சோத்துல உப்பு போட்டு தின்னுடா சூடு சொரனை மூளையாச்சும் வளரும் இணைய ஊம்பி,Anger
அதிகமா கோவப் படற பொம்பளை கூட அலைய விடற டெய்லர் கிட்ட அடக்கி வாசிக்க வேண்டியிருக்கு.. கோவத்தை தைக்கறதுல காட்டிட்டா?,Anger
அதிகார பசி இல்லாதவர்கள் என்று ஒட்டு மொத்தமாக குற்றம் சாட்டலாமா?,Anger
அதிகாரத்தை மீறி ஆளுநர் செயல்படுவதாக மதிமுக பொதுச்செயலாளர் வைகோ குற்றம் சாட்டியுள்ளார்..! … via,Anger
அதிகாரிகள் சம்பள விவரம்: நாடாளுமன்றக் குழு அதிருப்தி!,Anger
அதிபரை மண்டியிட செய்த குற்றம்,Anger
அதிமுக மீது அதிருப்தி உருவாகி திமுக ஆட்சிக்கு வரும் சூழல் உருவாகும் போதெல்லாம் மாற்று அரசியலை உருவாக்குகிறோம்...,Anger
"அதிருக்கட்டும் தமிழ்த்தாயை அவமதித்த காஞ்சி ஜெயேந்திரனை என்று வலியுறுத்தினீரா, ஒரு அறிக்கையாவது …",Anger
"ஆண்டாள் பிரச்சினைக்கு, தேவர் ஐயா வம்சத்தை உசுப்பேத்துனீங்க.திருமலை விழாவுக்கு,டாக்டர் ஐயா தொண்டர்களை சூடு ஏத்துறீங்க.எல்லா ஜாதி மக்களுக்கும் இப்ப கல்வி அறிவு வந்துறிச்சி.இனி ஆரிய தந்திரம்,தமிழ்நாட்டில் பலிக்காது. வடநாட்டுல போயி வியாபாரம் பண்ணலாமே.ஜாதிபூரி நல்லா விற்கும்.",Anger
இவங்க தான் நடுநிலை நக்கிகள் நேத்து இருந்த கோவம் எங்க போச்சு,Anger
உணக்கு சூடு சொர்ண இருக்காஇந்தியா உங்கள் அப்பன் சம்பாதிதாடா,Anger
உன்னை திருடன் என்று சொன்னாரே?இதை விட அவமானம் வேறு ஏதாவது இருக்கிறதா?நீயெல்லாம் ஒரு மனிதனா?,Anger
"எங்க தமிழ்தாய் வாழ்த்தை அவமதித்த காவி கும்பலின் வாழ்த்து எங்களுக்கு தேவையில்லை,",Anger
எங்கேடா நான் சாதி வெறியுடன் பேசியிருக்கேன் அதனை சொல்லுடா இல்லேனா மூடிட்டு ஓடுடா,Anger
கோவம் வருது....சாப்டியா ஜாய்,Anger
சரி. தவ்ஹீத் அல்லாவின் (மதத்தின்)பெயரால் தமிழை அவமதித்தால் அது சரியா? அல்லது உங்கள் தமிழ் பற்று இஸ்லாம் என்றுவரும்போது மறைந்துபோகுமா?இஸ்லாம் செய்தால் அது தமிழுக்கு அவமானம் இல்லையா? …,Anger
"சாதி,மத,பேதமற்ற ஆன்மீக அரசியல்சூடு ,சொரணை,ரோஷமற்ற கௌரவ அரசியல்",Anger
"சும்மா போட்டோ எடுப்பதற்கே அவனது ரசிகர்களாகிய படிப்பறிவற்ற, சினிமா மோகம் கொண்ட, உலகநடப்பு தெரியாத, தமது நிஜ வாழ்க்கையின் கசப்பை மறக்க திரைப்பட கற்பனையில் வாழும் முதிர் இளைஞர்களிடம் காசு வாங்கும் வந்தேறிப்பயலா கொடுப்பான்? 😂😂",Anger
"தரம் தாழ்ந்து பேசுவது திராவிட பாரம்பரியம், மன்னிக்க முடியாத குற்றம்!",Anger
தலைவன் மேல் உள்ள காழ்ப்புணர்ச்சியில் பதிவிடுகிறார்கள்,Anger
"தினசரி விலை நிர்ணயம் செய்யும் திட்டத்தால் பெட்ரோல், டீசல் விலை தொடர்ந்து உயர்வு: பொதுமக்கள் கடும் அதிருப்தி …",Anger
"தீங்குறளை ஓதோம் என்றார் மகா பெரியவா!தமிழ்த்தாய் வாழ்த்தை அவமதித்தார் சிறியவா ஜெயேந்திரன்.அவாள் அப்படித்தான்,...",Anger
தேசத்தில் பாரதீய ஜனதா சாதிய மோதல்களை தூண்டுகிறது என ராகுல் காந்தி குற்றம் சாட்டிஉள்ளார்.,Anger
தேசிய கீதம் என்பது இந்தியர்கள் ஐ மதிக்ககூடிய கீதம் ஆனால் சங்கரா மணந்தார் அவமதித்தார் இவன என்ன பண்ணலாம்???,Anger
